class_names,epoch,tsne_1,tsne_2
4,36,36.754745,-4.2505465
5,36,11.026085,28.431229
A,36,22.448883,-24.305092
B,36,-18.31174,-30.354841
C,36,-12.707882,45.32327
D,36,-37.82796,-6.1515822
E,36,-8.703007,10.857494
S,36,-4.0395064,-13.707533
0,37,-39.65802,20.686556
1,37,37.37823,16.415472
2,37,17.638765,3.5531516
3,37,-0.040726457,-43.983166
4,37,41.220844,-3.2222667
5,37,13.526833,30.581999
A,37,17.205873,-21.113619
B,37,-22.269472,-29.86978
C,37,-9.81736,42.686157
D,37,-33.913643,-1.7069478
E,37,-12.965921,9.503581
S,37,-5.7600284,-8.659474
0,38,-39.23736,21.152933
1,38,36.705513,20.530787
2,38,16.737822,2.7177112
3,38,2.0510883,-47.51804
4,38,40.151558,-3.1692023
5,38,9.812145,32.14866
A,38,15.363901,-23.44916
B,38,-17.499636,-26.79567
C,38,-11.65482,44.019234
D,38,-34.052086,-2.7729
E,38,-6.729741,9.765875
S,38,-2.1200025,-13.180807
0,39,-36.649532,16.440418
1,39,35.23514,18.713081
2,39,15.565541,8.030807
3,39,2.3549945,-44.112732
4,39,40.80141,-4.8201284
5,39,9.795251,34.919136
A,39,20.367748,-25.815132
B,39,-21.989305,-31.62572
C,39,-13.937389,41.331696
D,39,-35.916767,-9.7636175
E,39,-7.8134117,14.163725
S,39,-6.0279655,-14.455366
0,3,-35.796005,17.177214
1,3,38.51174,17.583029
2,3,12.605792,4.622623
3,3,-1.194657,-45.93369
4,3,44.86239,-8.124534
5,3,12.594376,35.68047
A,3,17.06248,-26.472862
B,3,-19.76808,-25.655003
C,3,-8.609867,41.777786
D,3,-33.125687,-7.1091146
E,3,-10.025873,12.738106
S,3,-1.8735809,-16.973568
0,40,-44.06757,19.295748
1,40,38.502563,17.458399
2,40,12.481078,2.6248913
3,40,1.6700231,-44.165474
4,40,44.26094,-5.9589667
5,40,11.37952,36.280544
A,40,18.340496,-20.09182
B,40,-19.771635,-28.847055
C,40,-8.97701,43.51407
D,40,-33.644863,-6.6413026
E,40,-9.774833,7.926081
S,40,-6.5512643,-9.096475
0,41,-39.576378,17.034779
1,41,37.859425,17.053955
2,41,11.570401,2.8001208
3,41,-0.9144808,-45.51945
4,41,38.554306,-4.9706874
5,41,12.18763,31.967281
A,41,18.654547,-27.51208
B,41,-25.427847,-28.668293
C,41,-13.107391,41.294796
D,41,-34.36402,-2.5002103
E,41,-12.287627,12.0238285
S,41,-4.334705,-10.105813
0,42,-40.098965,17.053621
1,42,40.656666,22.16173
2,42,12.339636,6.7315793
3,42,1.8883017,-50.330013
4,42,41.91066,-6.808948
5,42,9.166613,28.190626
A,42,16.454718,-22.833166
B,42,-21.44606,-32.062824
C,42,-12.516145,43.391724
D,42,-37.684895,-4.282193
E,42,-8.293498,12.335583
S,42,-1.4573094,-15.466213
0,43,-37.813488,19.99267
1,43,40.606544,18.557356
2,43,12.830892,6.3236413
3,43,3.8581226,-48.85425
4,43,41.9944,-4.7438393
5,43,10.306239,34.354496
A,43,17.943966,-25.288593
B,43,-26.04295,-26.715685
C,43,-13.4008465,40.9037
D,43,-31.212719,-7.588485
E,43,-13.706893,10.990562
S,43,-2.0522702,-11.511623
0,44,-41.991993,21.485506
1,44,38.529152,20.489742
2,44,13.418271,3.9746535
3,44,3.703208,-47.78207
4,44,41.230984,-9.22338
5,44,13.9837055,33.65065
A,44,22.291155,-24.779358
B,44,-23.537085,-27.464106
C,44,-9.810699,41.76843
D,44,-31.949156,-7.825545
E,44,-14.345008,11.762302
S,44,-1.0475628,-13.488687
0,45,-43.19268,15.619327
1,45,41.78841,22.92739
2,45,12.072969,2.6362164
3,45,0.22632815,-44.161167
4,45,41.30861,-1.1113904
5,45,10.779123,27.957043
A,45,17.272932,-22.543457
B,45,-17.986258,-26.95064
C,45,-12.659136,42.166363
D,45,-32.315426,-6.1692557
E,45,-6.7018824,12.506182
S,45,-5.21461,-10.255751
0,46,-44.071564,17.246397
1,46,37.929325,18.58698
2,46,17.443554,3.393734
3,46,-2.0077496,-45.522953
4,46,38.932697,-2.9407322
5,46,10.774716,31.889765
A,46,19.406132,-23.904987
B,46,-22.542582,-30.257853
C,46,-13.548911,39.260544
D,46,-31.205437,-3.448222
E,46,-12.375565,11.507183
S,46,-3.82729,-7.902852
0,47,-38.143085,16.08717
1,47,41.4734,18.966265
2,47,14.626284,4.108067
3,47,-1.7655007,-45.53978
4,47,38.48973,-7.3095737
5,47,10.133733,28.411669
A,47,22.537634,-23.601185
B,47,-19.19078,-27.105879
C,47,-14.622227,40.28749
D,47,-33.325195,-1.8333763
E,47,-8.238508,7.1334796
S,47,-4.079812,-13.162511
0,48,-41.63857,14.27561
1,48,36.642113,17.249432
2,48,15.967566,5.2092314
3,48,3.2911386,-46.825176
4,48,41.42329,-4.2134223
5,48,13.367421,32.78511
A,48,18.31378,-24.090641
B,48,-25.950378,-30.454498
C,48,-10.359561,36.58786
D,48,-35.725735,-6.4051847
E,48,-12.763048,13.554802
S,48,-4.594571,-8.702229
0,49,-42.491592,18.445461
1,49,36.167435,22.320488
2,49,12.00168,6.846689
3,49,1.1706357,-42.559982
4,49,40.18699,-3.0081048
5,49,9.513461,28.912066
A,49,16.394188,-22.754787
B,49,-20.34523,-29.725039
C,49,-14.240989,38.84016
D,49,-35.077488,-8.976037
E,49,-9.525357,14.982318
S,49,-5.848574,-8.542213
0,4,-38.50141,17.703588
1,4,38.145935,20.36094
2,4,17.419249,2.0519052
3,4,1.528802,-45.86788
4,4,39.037365,-4.7307086
5,4,9.999831,33.255272
A,4,20.67461,-27.95283
B,4,-23.096033,-28.627262
C,4,-9.214862,39.302563
D,4,-33.588432,-1.085795
E,4,-12.817939,11.954983
S,4,-2.3619592,-13.57879
0,5,-37.960846,18.118368
1,5,40.442112,21.504082
2,5,14.889425,7.44706
3,5,2.9489508,-44.474022
4,5,42.60031,-6.708768
5,5,12.404725,33.189148
A,5,17.411196,-25.66221
B,5,-24.402964,-30.877287
C,5,-13.035162,42.90593
D,5,-38.109898,-7.7425485
E,5,-9.181449,8.681546
S,5,-1.8320054,-17.077871
0,6,-37.237423,18.201998
1,6,41.8489,17.96173
2,6,16.764519,3.2336595
3,6,2.255608,-42.984123
4,6,40.606182,-4.096737
5,6,8.946176,35.53575
A,6,21.773415,-26.254303
B,6,-17.45392,-29.423725
C,6,-12.314374,37.425686
D,6,-32.30427,-9.323613
E,6,-11.082671,14.926253
S,6,-2.9224522,-12.046269
0,7,-41.96693,16.714962
1,7,39.587303,19.540415
2,7,16.414913,3.151221
3,7,3.3858874,-44.97271
4,7,41.999,-2.2711928
5,7,11.297728,33.49862
A,7,20.632862,-21.937082
B,7,-18.14257,-28.309656
C,7,-10.723813,41.901123
D,7,-35.598278,-5.4733047
E,7,-12.799203,7.9542475
S,7,-1.4002877,-12.150863
0,8,-40.500366,19.846966
1,8,43.858532,19.940578
2,8,13.915871,6.353871
3,8,2.754744,-44.95517
4,8,39.86274,-6.817509
5,8,10.390703,33.92135
A,8,17.923426,-22.80202
B,8,-19.44735,-29.653688
C,8,-9.109772,41.5558
D,8,-35.14988,-6.752599
E,8,-11.430085,12.291832
S,8,-3.0332217,-17.149511
0,9,-42.792023,17.832054
1,9,36.603676,23.672045
2,9,16.840843,6.4600096
3,9,-0.5732608,-46.086445
4,9,40.201233,-3.054796
5,9,11.289464,30.738249
A,9,21.34354,-25.88362
B,9,-24.361452,-30.665592
C,9,-12.0570965,41.990883
D,9,-33.529568,-5.6271234
E,9,-12.853175,9.91812
S,9,-1.0191835,-14.934129
